Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,031052,1965,01,01,31.7,1,Y
IDCJAC0010,031052,1965,01,02,32.2,1,Y
IDCJAC0010,031052,1965,01,03,32.2,1,Y
IDCJAC0010,031052,1965,01,04,33.3,1,Y
IDCJAC0010,031052,1965,01,05,31.7,1,Y
IDCJAC0010,031052,1965,01,06,32.2,1,Y
IDCJAC0010,031052,1965,01,07,33.3,1,Y
IDCJAC0010,031052,1965,01,08,31.7,1,Y
IDCJAC0010,031052,1965,01,09,30.6,1,Y
IDCJAC0010,031052,1965,01,10,31.1,1,Y
IDCJAC0010,031052,1965,01,11,32.2,1,Y
IDCJAC0010,031052,1965,01,12,31.7,1,Y
IDCJAC0010,031052,1965,01,13,31.7,1,Y
IDCJAC0010,031052,1965,01,14,30.6,1,Y
IDCJAC0010,031052,1965,01,15,23.3,1,Y
IDCJAC0010,031052,1965,01,16,27.8,1,Y
IDCJAC0010,031052,1965,01,17,31.1,1,Y
IDCJAC0010,031052,1965,01,18,31.1,1,Y
IDCJAC0010,031052,1965,01,19,32.2,1,Y
IDCJAC0010,031052,1965,01,20,31.7,1,Y
IDCJAC0010,031052,1965,01,21,33.3,1,Y
IDCJAC0010,031052,1965,01,22,32.8,1,Y
IDCJAC0010,031052,1965,01,23,31.7,1,Y
IDCJAC0010,031052,1965,01,24,32.2,1,Y
IDCJAC0010,031052,1965,01,25,33.3,1,Y
IDCJAC0010,031052,1965,01,26,31.7,1,Y
IDCJAC0010,031052,1965,01,27,32.2,1,Y
IDCJAC0010,031052,1965,01,28,31.7,1,Y
IDCJAC0010,031052,1965,01,29,26.7,1,Y
IDCJAC0010,031052,1965,01,30,,,
IDCJAC0010,031052,1965,01,31,,,
IDCJAC0010,031052,1965,02,01,32.2,1,N
IDCJAC0010,031052,1965,02,02,32.8,1,Y
IDCJAC0010,031052,1965,02,03,32.2,1,Y
IDCJAC0010,031052,1965,02,04,31.7,1,Y
IDCJAC0010,031052,1965,02,05,32.2,1,Y
IDCJAC0010,031052,1965,02,06,31.7,1,Y
IDCJAC0010,031052,1965,02,07,31.7,1,Y
IDCJAC0010,031052,1965,02,08,32.2,1,Y
IDCJAC0010,031052,1965,02,09,33.3,1,Y
IDCJAC0010,031052,1965,02,10,32.2,1,Y
IDCJAC0010,031052,1965,02,11,32.2,1,Y
IDCJAC0010,031052,1965,02,12,32.2,1,Y
IDCJAC0010,031052,1965,02,13,31.7,1,Y
IDCJAC0010,031052,1965,02,14,30.6,1,Y
IDCJAC0010,031052,1965,02,15,31.7,1,Y
IDCJAC0010,031052,1965,02,16,26.7,1,Y
IDCJAC0010,031052,1965,02,17,32.2,1,Y
IDCJAC0010,031052,1965,02,18,30.6,1,Y
IDCJAC0010,031052,1965,02,19,29.4,1,Y
IDCJAC0010,031052,1965,02,20,31.7,1,Y
IDCJAC0010,031052,1965,02,21,31.1,1,Y
IDCJAC0010,031052,1965,02,22,30.6,1,Y
IDCJAC0010,031052,1965,02,23,31.1,1,Y
IDCJAC0010,031052,1965,02,24,32.2,1,Y
IDCJAC0010,031052,1965,02,25,32.2,1,Y
IDCJAC0010,031052,1965,02,26,32.8,1,Y
IDCJAC0010,031052,1965,02,27,31.7,1,Y
IDCJAC0010,031052,1965,02,28,,,
IDCJAC0010,031052,1965,03,01,32.2,1,N
IDCJAC0010,031052,1965,03,02,31.7,1,Y
IDCJAC0010,031052,1965,03,03,31.7,1,Y
IDCJAC0010,031052,1965,03,04,31.1,1,Y
IDCJAC0010,031052,1965,03,05,31.1,1,Y
IDCJAC0010,031052,1965,03,06,31.7,1,Y
IDCJAC0010,031052,1965,03,07,32.2,1,Y
IDCJAC0010,031052,1965,03,08,28.3,1,Y
IDCJAC0010,031052,1965,03,09,29.4,1,Y
IDCJAC0010,031052,1965,03,10,31.1,1,Y
IDCJAC0010,031052,1965,03,11,32.2,1,Y
IDCJAC0010,031052,1965,03,12,26.7,1,Y
IDCJAC0010,031052,1965,03,13,31.1,1,Y
IDCJAC0010,031052,1965,03,14,31.1,1,Y
IDCJAC0010,031052,1965,03,15,31.1,1,Y
IDCJAC0010,031052,1965,03,16,29.4,1,Y
IDCJAC0010,031052,1965,03,17,31.1,1,Y
IDCJAC0010,031052,1965,03,18,23.9,1,Y
IDCJAC0010,031052,1965,03,19,30.0,1,Y
IDCJAC0010,031052,1965,03,20,29.4,1,Y
IDCJAC0010,031052,1965,03,21,31.1,1,Y
IDCJAC0010,031052,1965,03,22,31.1,1,Y
IDCJAC0010,031052,1965,03,23,31.7,1,Y
IDCJAC0010,031052,1965,03,24,31.1,1,Y
IDCJAC0010,031052,1965,03,25,30.6,1,Y
IDCJAC0010,031052,1965,03,26,26.7,1,Y
IDCJAC0010,031052,1965,03,27,29.4,1,Y
IDCJAC0010,031052,1965,03,28,31.1,1,Y
IDCJAC0010,031052,1965,03,29,31.7,1,Y
IDCJAC0010,031052,1965,03,30,32.2,1,Y
IDCJAC0010,031052,1965,03,31,31.7,1,Y
IDCJAC0010,031052,1965,04,01,31.7,1,Y
IDCJAC0010,031052,1965,04,02,31.1,1,Y
IDCJAC0010,031052,1965,04,03,32.2,1,Y
IDCJAC0010,031052,1965,04,04,31.7,1,Y
IDCJAC0010,031052,1965,04,05,31.7,1,Y
IDCJAC0010,031052,1965,04,06,32.2,1,Y
IDCJAC0010,031052,1965,04,07,26.7,1,Y
IDCJAC0010,031052,1965,04,08,30.0,1,Y
IDCJAC0010,031052,1965,04,09,31.1,1,Y
IDCJAC0010,031052,1965,04,10,31.7,1,Y
IDCJAC0010,031052,1965,04,11,31.1,1,Y
IDCJAC0010,031052,1965,04,12,30.0,1,Y
IDCJAC0010,031052,1965,04,13,31.1,1,Y
IDCJAC0010,031052,1965,04,14,31.7,1,Y
IDCJAC0010,031052,1965,04,15,31.7,1,Y
IDCJAC0010,031052,1965,04,16,31.1,1,Y
IDCJAC0010,031052,1965,04,17,31.1,1,Y
IDCJAC0010,031052,1965,04,18,31.1,1,Y
IDCJAC0010,031052,1965,04,19,31.1,1,Y
IDCJAC0010,031052,1965,04,20,31.7,1,Y
IDCJAC0010,031052,1965,04,21,28.9,1,Y
IDCJAC0010,031052,1965,04,22,25.0,1,Y
IDCJAC0010,031052,1965,04,23,30.6,1,Y
IDCJAC0010,031052,1965,04,24,29.4,1,Y
IDCJAC0010,031052,1965,04,25,27.8,1,Y
IDCJAC0010,031052,1965,04,26,30.0,1,Y
IDCJAC0010,031052,1965,04,27,30.6,1,Y
IDCJAC0010,031052,1965,04,28,29.4,1,Y
IDCJAC0010,031052,1965,04,29,30.0,1,Y
IDCJAC0010,031052,1965,04,30,30.0,1,Y
IDCJAC0010,031052,1965,05,01,30.6,1,Y
IDCJAC0010,031052,1965,05,02,31.1,1,Y
IDCJAC0010,031052,1965,05,03,30.6,1,Y
IDCJAC0010,031052,1965,05,04,28.3,1,Y
IDCJAC0010,031052,1965,05,05,28.9,1,Y
IDCJAC0010,031052,1965,05,06,29.4,1,Y
IDCJAC0010,031052,1965,05,07,29.4,1,Y
IDCJAC0010,031052,1965,05,08,28.9,1,Y
IDCJAC0010,031052,1965,05,09,28.9,1,Y
IDCJAC0010,031052,1965,05,10,29.4,1,Y
IDCJAC0010,031052,1965,05,11,29.4,1,Y
IDCJAC0010,031052,1965,05,12,29.4,1,Y
IDCJAC0010,031052,1965,05,13,28.9,1,Y
IDCJAC0010,031052,1965,05,14,29.4,1,Y
IDCJAC0010,031052,1965,05,15,28.3,1,Y
IDCJAC0010,031052,1965,05,16,28.3,1,Y
IDCJAC0010,031052,1965,05,17,28.3,1,Y
IDCJAC0010,031052,1965,05,18,28.3,1,Y
IDCJAC0010,031052,1965,05,19,28.9,1,Y
IDCJAC0010,031052,1965,05,20,27.2,1,Y
IDCJAC0010,031052,1965,05,21,27.8,1,Y
