Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,031052,1965,01,01,22.2,1,Y
IDCJAC0011,031052,1965,01,02,22.2,1,Y
IDCJAC0011,031052,1965,01,03,22.8,1,Y
IDCJAC0011,031052,1965,01,04,22.2,1,Y
IDCJAC0011,031052,1965,01,05,20.6,1,Y
IDCJAC0011,031052,1965,01,06,21.7,1,Y
IDCJAC0011,031052,1965,01,07,22.8,1,Y
IDCJAC0011,031052,1965,01,08,22.8,1,Y
IDCJAC0011,031052,1965,01,09,22.8,1,Y
IDCJAC0011,031052,1965,01,10,22.8,1,Y
IDCJAC0011,031052,1965,01,11,22.2,1,Y
IDCJAC0011,031052,1965,01,12,21.1,1,Y
IDCJAC0011,031052,1965,01,13,22.2,1,Y
IDCJAC0011,031052,1965,01,14,24.4,1,Y
IDCJAC0011,031052,1965,01,15,22.2,1,Y
IDCJAC0011,031052,1965,01,16,22.2,1,Y
IDCJAC0011,031052,1965,01,17,22.2,1,Y
IDCJAC0011,031052,1965,01,18,22.8,1,Y
IDCJAC0011,031052,1965,01,19,20.0,1,Y
IDCJAC0011,031052,1965,01,20,20.0,1,Y
IDCJAC0011,031052,1965,01,21,22.8,1,Y
IDCJAC0011,031052,1965,01,22,23.3,1,Y
IDCJAC0011,031052,1965,01,23,23.9,1,Y
IDCJAC0011,031052,1965,01,24,24.4,1,Y
IDCJAC0011,031052,1965,01,25,22.2,1,Y
IDCJAC0011,031052,1965,01,26,22.8,1,Y
IDCJAC0011,031052,1965,01,27,23.9,1,Y
IDCJAC0011,031052,1965,01,28,21.7,1,Y
IDCJAC0011,031052,1965,01,29,22.8,1,Y
IDCJAC0011,031052,1965,01,30,,,
IDCJAC0011,031052,1965,01,31,24.4,1,N
IDCJAC0011,031052,1965,02,01,15.6,1,Y
IDCJAC0011,031052,1965,02,02,22.2,1,Y
IDCJAC0011,031052,1965,02,03,22.2,1,Y
IDCJAC0011,031052,1965,02,04,21.1,1,Y
IDCJAC0011,031052,1965,02,05,23.3,1,Y
IDCJAC0011,031052,1965,02,06,22.2,1,Y
IDCJAC0011,031052,1965,02,07,22.2,1,Y
IDCJAC0011,031052,1965,02,08,22.8,1,Y
IDCJAC0011,031052,1965,02,09,22.2,1,Y
IDCJAC0011,031052,1965,02,10,22.8,1,Y
IDCJAC0011,031052,1965,02,11,23.9,1,Y
IDCJAC0011,031052,1965,02,12,21.7,1,Y
IDCJAC0011,031052,1965,02,13,21.7,1,Y
IDCJAC0011,031052,1965,02,14,21.1,1,Y
IDCJAC0011,031052,1965,02,15,22.2,1,Y
IDCJAC0011,031052,1965,02,16,22.8,1,Y
IDCJAC0011,031052,1965,02,17,23.3,1,Y
IDCJAC0011,031052,1965,02,18,24.4,1,Y
IDCJAC0011,031052,1965,02,19,22.2,1,Y
IDCJAC0011,031052,1965,02,20,23.3,1,Y
IDCJAC0011,031052,1965,02,21,22.8,1,Y
IDCJAC0011,031052,1965,02,22,23.3,1,Y
IDCJAC0011,031052,1965,02,23,22.2,1,Y
IDCJAC0011,031052,1965,02,24,19.4,1,Y
IDCJAC0011,031052,1965,02,25,20.0,1,Y
IDCJAC0011,031052,1965,02,26,21.7,1,Y
IDCJAC0011,031052,1965,02,27,22.2,1,Y
IDCJAC0011,031052,1965,02,28,22.2,1,Y
IDCJAC0011,031052,1965,03,01,22.2,1,Y
IDCJAC0011,031052,1965,03,02,21.7,1,Y
IDCJAC0011,031052,1965,03,03,21.1,1,Y
IDCJAC0011,031052,1965,03,04,22.8,1,Y
IDCJAC0011,031052,1965,03,05,21.7,1,Y
