Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,030036,1957,01,01,31.7,1,Y
IDCJAC0010,030036,1957,01,02,29.4,1,Y
IDCJAC0010,030036,1957,01,03,29.4,1,Y
IDCJAC0010,030036,1957,01,04,31.1,1,Y
IDCJAC0010,030036,1957,01,05,32.2,1,Y
IDCJAC0010,030036,1957,01,06,31.1,1,Y
IDCJAC0010,030036,1957,01,07,30.6,1,Y
IDCJAC0010,030036,1957,01,08,31.7,1,Y
IDCJAC0010,030036,1957,01,09,28.9,1,Y
IDCJAC0010,030036,1957,01,10,27.2,1,Y
IDCJAC0010,030036,1957,01,11,28.9,1,Y
IDCJAC0010,030036,1957,01,12,27.2,1,Y
IDCJAC0010,030036,1957,01,13,28.9,1,Y
IDCJAC0010,030036,1957,01,14,31.7,1,Y
IDCJAC0010,030036,1957,01,15,32.2,1,Y
IDCJAC0010,030036,1957,01,16,32.2,1,Y
IDCJAC0010,030036,1957,01,17,30.6,1,Y
IDCJAC0010,030036,1957,01,18,31.7,1,Y
IDCJAC0010,030036,1957,01,19,32.2,1,Y
IDCJAC0010,030036,1957,01,20,32.8,1,Y
IDCJAC0010,030036,1957,01,21,32.2,1,Y
IDCJAC0010,030036,1957,01,22,33.9,1,Y
IDCJAC0010,030036,1957,01,23,33.9,1,Y
IDCJAC0010,030036,1957,01,24,36.7,1,Y
IDCJAC0010,030036,1957,01,25,37.8,1,Y
IDCJAC0010,030036,1957,01,26,36.7,1,Y
IDCJAC0010,030036,1957,01,27,32.8,1,Y
IDCJAC0010,030036,1957,01,28,30.0,1,Y
IDCJAC0010,030036,1957,01,29,28.9,1,Y
IDCJAC0010,030036,1957,01,30,30.6,1,Y
IDCJAC0010,030036,1957,01,31,30.6,1,Y
IDCJAC0010,030036,1957,02,01,30.6,1,Y
IDCJAC0010,030036,1957,02,02,29.4,1,Y
IDCJAC0010,030036,1957,02,03,29.4,1,Y
IDCJAC0010,030036,1957,02,04,31.1,1,Y
IDCJAC0010,030036,1957,02,05,31.7,1,Y
IDCJAC0010,030036,1957,02,06,31.7,1,Y
IDCJAC0010,030036,1957,02,07,31.7,1,Y
IDCJAC0010,030036,1957,02,08,32.2,1,Y
IDCJAC0010,030036,1957,02,09,33.3,1,Y
IDCJAC0010,030036,1957,02,10,33.9,1,Y
IDCJAC0010,030036,1957,02,11,36.1,1,Y
IDCJAC0010,030036,1957,02,12,35.6,1,Y
IDCJAC0010,030036,1957,02,13,35.0,1,Y
IDCJAC0010,030036,1957,02,14,35.0,1,Y
IDCJAC0010,030036,1957,02,15,34.4,1,Y
IDCJAC0010,030036,1957,02,16,33.9,1,Y
IDCJAC0010,030036,1957,02,17,34.4,1,Y
IDCJAC0010,030036,1957,02,18,33.9,1,Y
IDCJAC0010,030036,1957,02,19,36.1,1,Y
IDCJAC0010,030036,1957,02,20,35.0,1,Y
IDCJAC0010,030036,1957,02,21,35.0,1,Y
IDCJAC0010,030036,1957,02,22,35.6,1,Y
IDCJAC0010,030036,1957,02,23,33.3,1,Y
IDCJAC0010,030036,1957,02,24,32.8,1,Y
