"Monthly Climate Statistics for 'BUSHY PARK (BUSHY PARK ESTATES)' [095003]"
"Created on [ 05 Oct 2011 14:13:03 GMT+00:00]"

"095003 BUSHY PARK (BUSHY PARK ESTATES)"
"Commenced: 1874"
"Last Record: 2011"
"Latitude:   42.71 Degrees South"
"Longitude:  146.90 Degrees East"
"Elevation:      27 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1931 to 2011 ",23.9,23.9,21.8,17.9,14.3,11.2,11.1,13.1,15.4,17.7,19.8,22.0,17.7,76,1931,2011
"Highest temperature (Degrees C) for years 1957 to 2011 ",39.5,39.3,37.6,30.6,25.6,20.0,20.0,23.7,29.5,33.5,35.0,38.6,39.5,50,1957,2011
"Date of Highest temperature for years 1957 to 2011 ",20 Jan  1973,07 Feb  1967,07 Mar  1966,01 Apr  2005,08 May  2002,08 Jun  1957,02 Jul  1985,31 Aug  2006,27 Sep  1987,31 Oct  1987,06 Nov  1982,11 Dec  1998,20 Jan  1973,N/A,1957,2011
"Lowest maximum temperature (Degrees C) for years 1957 to 2011 ",12.7,10.3,11.2,7.8,2.1,0.0,0.0,3.8,6.1,7.5,9.4,11.1,0.0,50,1957,2011
"Date of Lowest maximum temperature for years 1957 to 2011 ",05 Jan  1969,23 Feb  1964,08 Mar  1987,25 Apr  1967,31 May  1963,19 Jun  1992,06 Jul  1973,02 Aug  2004,11 Sep  1969,16 Oct  1984,07 Nov  1994,06 Dec  1969,06 Jul  1973,N/A,1957,2011
"Decile 1 maximum temperature (Degrees C) for years 1957 to 2011 ",17.9,17.9,16.2,13.5,10.5,7.0,7.5,9.6,11.4,12.9,14.4,16.2, ,51,1957,2011
"Decile 9 maximum temperature (Degrees C) for years 1957 to 2011 ",31.0,30.7,27.8,23.0,18.4,15.2,14.6,16.5,19.0,23.0,25.5,28.0, ,51,1957,2011
"Mean number of days >= 30 Degrees C for years 1957 to 2011 ",4.1,3.6,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.8,1.8,12.0,50,1957,2011
"Mean number of days >= 35 Degrees C for years 1957 to 2011 ",0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,50,1957,2011
"Mean number of days >= 40 Degrees C for years 1957 to 2011 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1957,2011
"Mean minimum temperature (Degrees C) for years 1931 to 2011 ",10.0,10.0,8.4,6.2,4.1,2.1,1.4,2.3,3.9,5.8,7.5,9.1,5.9,76,1931,2011
"Lowest temperature (Degrees C) for years 1957 to 2011 ",0.2,0.0,-1.8,-4.4,-6.0,-6.7,-5.5,-5.5,-3.7,-2.9,-1.3,-1.2,-6.7,50,1957,2011
"Date of Lowest temperature for years 1957 to 2011 ",19 Jan  2004,10 Feb  1980,26 Mar  2005,14 Apr  1963,22 May  2008,25 Jun  1972,01 Jul  1986,07 Aug  2006,04 Sep  2008,07 Oct  1997,05 Nov  2008,12 Dec  1995,25 Jun  1972,N/A,1957,2011
"Highest minimum temperature (Degrees C) for years 1957 to 2011 ",21.1,25.3,18.0,16.5,15.0,13.3,10.5,10.6,14.0,14.5,16.5,19.9,25.3,50,1957,2011
"Date of Highest minimum temperature for years 1957 to 2011 ",17 Jan  1962,13 Feb  1957,12 Mar  1985,15 Apr  1985,11 May  1980,08 Jun  1957,03 Jul  1985,25 Aug  1970,30 Sep  1973,02 Oct  1978,27 Nov  1978,30 Dec  2002,13 Feb  1957,N/A,1957,2011
"Decile 1 minimum temperature (Degrees C) for years 1957 to 2011 ",5.9,5.4,3.8,1.5,-0.6,-1.9,-2.4,-1.6,0.0,1.5,3.2,4.9, ,51,1957,2011
"Decile 9 minimum temperature (Degrees C) for years 1957 to 2011 ",14.3,14.0,12.8,10.6,8.4,6.4,5.3,6.0,7.9,9.7,11.5,13.0, ,51,1957,2011
