"Monthly Climate Statistics for 'MAYDENA POST OFFICE' [095063]"
"Created on [ 05 Oct 2011 17:06:58 GMT+00:00]"

"095063 MAYDENA POST OFFICE"
"Commenced: 1992"
"Last Record: 2011"
"Latitude:   42.76 Degrees South"
"Longitude:  146.62 Degrees East"
"Elevation:     281 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1992 to 2011 ",22.1,22.2,19.4,15.8,13.1,10.8,10.7,11.9,13.6,15.6,18.0,19.6,16.1,18,1992,2011
"Highest temperature (Degrees C) for years 1992 to 2011 ",37.2,35.8,35.2,28.5,25.3,18.9,17.4,22.1,26.7,30.0,32.3,35.2,37.2,18,1992,2011
"Date of Highest temperature for years 1992 to 2011 ",11 Jan  2010,25 Feb  1995,17 Mar  2008,02 Apr  2005,08 May  2002,07 Jun  2002,27 Jul  2002,29 Aug  2005,15 Sep  2002,12 Oct  2006,22 Nov  1997,31 Dec  2009,11 Jan  2010,N/A,1992,2011
"Lowest maximum temperature (Degrees C) for years 1992 to 2011 ",10.7,10.4,9.2,5.8,3.8,2.6,3.2,2.9,4.6,5.2,4.9,9.4,2.6,18,1992,2011
"Date of Lowest maximum temperature for years 1992 to 2011 ",16 Jan  2009,20 Feb  1998,31 Mar  1995,29 Apr  2009,30 May  2006,12 Jun  1993,09 Jul  1997,11 Aug  2005,06 Sep  1994,09 Oct  2003,07 Nov  1994,27 Dec  2004,12 Jun  1993,N/A,1992,2011
"Decile 1 maximum temperature (Degrees C) for years 1992 to 2011 ",15.5,15.0,13.4,11.1,9.6,7.6,7.8,8.0,9.4,10.5,12.2,13.3, ,19,1992,2011
"Decile 9 maximum temperature (Degrees C) for years 1992 to 2011 ",29.8,29.5,26.1,20.5,16.8,13.7,13.6,15.5,17.8,22.0,24.7,26.8, ,19,1992,2011
"Mean number of days >= 30 Degrees C for years 1992 to 2011 ",2.9,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,1.1,7.3,18,1992,2011
"Mean number of days >= 35 Degrees C for years 1992 to 2011 ",0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,18,1992,2011
"Mean number of days >= 40 Degrees C for years 1992 to 2011 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1992,2011
"Mean minimum temperature (Degrees C) for years 1992 to 2011 ",8.9,8.8,7.0,5.4,4.3,2.5,2.2,2.5,3.4,4.8,6.4,7.4,5.3,18,1992,2011
"Lowest temperature (Degrees C) for years 1992 to 2011 ",-0.4,-1.0,-3.9,-1.8,-3.4,-4.2,-3.5,-3.8,-3.4,-3.2,-1.4,-0.6,-4.2,18,1992,2011
"Date of Lowest temperature for years 1992 to 2011 ",24 Jan  2000,24 Feb  2004,26 Mar  2005,25 Apr  1997,22 May  2010,06 Jun  2006,09 Jul  2005,17 Aug  1998,20 Sep  1999,07 Oct  1997,18 Nov  1998,05 Dec  1995,06 Jun  2006,N/A,1992,2011
"Highest minimum temperature (Degrees C) for years 1992 to 2011 ",17.6,18.9,16.0,13.4,12.8,10.6,9.1,12.2,13.5,13.8,16.4,17.1,18.9,18,1992,2011
"Date of Highest minimum temperature for years 1992 to 2011 ",20 Jan  2001,04 Feb  2010,02 Mar  2007,03 Apr  2005,04 May  2005,04 Jun  2002,05 Jul  1999,30 Aug  2005,09 Sep  2005,31 Oct  2010,03 Nov  2005,31 Dec  2002,04 Feb  2010,N/A,1992,2011
"Decile 1 minimum temperature (Degrees C) for years 1992 to 2011 ",4.4,4.6,3.0,1.3,0.4,-1.3,-1.2,-1.1,-0.2,0.9,1.7,3.6, ,19,1992,2011
"Decile 9 minimum temperature (Degrees C) for years 1992 to 2011 ",13.0,13.2,10.8,9.2,8.4,6.4,6.0,6.2,6.9,8.2,10.5,11.6, ,19,1992,2011
"Mean number of days <= 2 Degrees C for years 1992 to 2011 ",0.6,0.8,1.7,4.6,7.9,13.6,14.9,13.8,9.4,5.6,3.2,0.9,77.0,18,1992,2011
"Mean number of days <= 0 Degrees C for years 1992 to 2011 ",0.1,0.2,0.5,1.4,2.6,7.2,7.6,6.3,3.5,1.4,0.6,0.3,31.7,18,1992,2011
"Mean daily ground minimum temperature Degrees C for years null to null ", , , , , , , , , , , , , ,, , 
"Lowest ground temperature Degrees C for years null to null ", , , , , , , , , , , , , ,, , 
"Date of Lowest ground temperature  for years null to null ", , , , , , , , , , , , , ,N/A, , 
"Mean number of days ground min. temp. <= -1 Degrees C for years null to null ", , , , , , , , , , , , , ,, , 
"Mean rainfall (mm) for years 1992 to 2011 ",61.0,65.3,68.8,82.9,92.5,100.4,109.1,153.1,142.3,118.5,91.2,89.8,1174.7,19,1992,2011
"Highest rainfall (mm) for years 1992 to 2011 ",129.6,188.8,161.8,179.8,259.2,241.5,198.3,290.6,280.8,172.3,185.6,212.4,1528.9,19,1992,2011
"Date of Highest rainfall for years 1992 to 2011 ",1994,1999,1996,1996,1994,2002,2011,2009,2003,1998,1996,2005,1996,N/A,1992,2011
"Lowest rainfall (mm) for years 1992 to 2011 ",12.0,13.4,10.8,28.1,26.5,32.8,50.2,71.1,35.0,53.5,15.6,21.0,950.0,19,1992,2011
"Date of Lowest rainfall for years 1992 to 2011 ",2008,2007,1994,2002,2001,2007,2001,2000,1997,2009,2007,1994,2008,N/A,1992,2011
"Decile 1 monthly rainfall (mm) for years 1992 to 2011 ",18.0,30.8,26.8,37.5,42.6,34.0,57.5,77.5,58.9,74.9,35.8,51.6,1009.5,19,1992,2011
"Decile 5 (median) monthly rainfall (mm) for years 1992 to 2011 ",63.8,56.8,58.7,77.6,65.4,83.6,109.6,149.2,153.1,111.2,93.4,81.8,1182.6,19,1992,2011
"Decile 9 monthly rainfall (mm) for years 1992 to 2011 ",94.3,105.4,108.6,144.0,146.5,171.3,152.8,236.4,204.6,165.0,145.1,125.0,1335.4,19,1992,2011
"Highest daily rainfall (mm) for years 1992 to 2011 ",39.2,57.0,51.0,35.0,40.4,40.6,37.0,52.0,33.9,40.4,55.2,62.8,62.8,19,1992,2011
"Date of Highest daily rainfall for years 1992 to 2011 ",22 Jan  1997,07 Feb  1999,17 Mar  1996,07 Apr  1995,28 May  1994,08 Jun  2011,29 Jul  2011,25 Aug  2003,18 Sep  2003,12 Oct  2001,29 Nov  2009,04 Dec  2005,04 Dec  2005,N/A,1992,2011
