"Monthly Climate Statistics for 'OUSE FIRE STATION' [095048]"
"Created on [ 05 Oct 2011 17:54:27 GMT+00:00]"

"095048 OUSE FIRE STATION"
"Commenced: 1973"
"Last Record: 2011"
"Latitude:   42.48 Degrees South"
"Longitude:  146.71 Degrees East"
"Elevation:      90 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1998 to 2011 ",25.3,25.1,22.2,18.3,14.9,11.9,11.6,13.7,15.6,17.6,21.0,22.9,18.3,13,1998,2011
"Highest temperature (Degrees C) for years 1998 to 2011 ",40.7,39.0,36.1,30.5,26.0,19.0,19.6,22.5,25.0,30.8,33.6,38.0,40.7,13,1998,2011
"Date of Highest temperature for years 1998 to 2011 ",11 Jan  2010,03 Feb  2001,16 Mar  2008,02 Apr  2005,08 May  2002,07 Jun  2002,25 Jul  2007,31 Aug  2006,15 Sep  2002,12 Oct  2006,09 Nov  2009,31 Dec  2007,11 Jan  2010,N/A,1998,2011
"Lowest maximum temperature (Degrees C) for years 1998 to 2011 ",14.0,13.0,12.8,10.0,4.4,0.9,1.8,4.4,8.0,9.0,12.6,13.0,0.9,13,1998,2011
"Date of Lowest maximum temperature for years 1998 to 2011 ",04 Jan  2000,07 Feb  1999,31 Mar  2008,23 Apr  2004,30 May  2006,25 Jun  2007,09 Jul  2004,02 Aug  2004,09 Sep  2002,01 Oct  2000,29 Nov  2008,05 Dec  2002,25 Jun  2007,N/A,1998,2011
"Decile 1 maximum temperature (Degrees C) for years 1998 to 2011 ",19.2,19.0,16.9,14.0,11.0,8.0,8.1,10.2,12.0,13.0,16.0,17.0, ,14,1998,2011
"Decile 9 maximum temperature (Degrees C) for years 1998 to 2011 ",32.5,32.0,28.0,23.0,19.0,15.7,15.0,17.0,19.0,23.0,27.0,29.4, ,14,1998,2011
"Mean number of days >= 30 Degrees C for years 1998 to 2011 ",6.1,5.1,1.9,0.1,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.8,17.4,13,1998,2011
"Mean number of days >= 35 Degrees C for years 1998 to 2011 ",1.5,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.3,13,1998,2011
"Mean number of days >= 40 Degrees C for years 1998 to 2011 ",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,13,1998,2011
"Mean minimum temperature (Degrees C) for years 1998 to 2011 ",10.1,9.8,7.8,4.8,3.7,1.3,1.0,2.2,3.8,5.3,7.0,8.6,5.4,13,1998,2011
"Lowest temperature (Degrees C) for years 1998 to 2011 ",-0.4,0.2,-3.2,-5.6,-6.3,-6.1,-6.0,-6.7,-4.3,-3.5,-2.7,0.0,-6.7,13,1998,2011
"Date of Lowest temperature for years 1998 to 2011 ",19 Jan  2004,24 Feb  2004,26 Mar  2005,30 Apr  2009,22 May  2008,18 Jun  2007,18 Jul  2000,07 Aug  2006,08 Sep  2003,23 Oct  2008,05 Nov  2008,05 Dec  2001,07 Aug  2006,N/A,1998,2011
"Highest minimum temperature (Degrees C) for years 1998 to 2011 ",18.9,19.8,17.0,15.0,14.9,10.4,9.8,11.2,13.0,14.8,16.5,20.0,20.0,13,1998,2011
"Date of Highest minimum temperature for years 1998 to 2011 ",12 Jan  2010,04 Feb  2010,23 Mar  2001,03 Apr  2005,04 May  2005,05 Jun  2009,29 Jul  2011,18 Aug  2011,23 Sep  1998,12 Oct  2006,03 Nov  2005,30 Dec  2002,30 Dec  2002,N/A,1998,2011
"Decile 1 minimum temperature (Degrees C) for years 1998 to 2011 ",5.4,5.0,2.5,-0.5,-1.1,-3.3,-3.3,-2.0,-0.7,1.0,2.0,4.2, ,14,1998,2011
"Decile 9 minimum temperature (Degrees C) for years 1998 to 2011 ",14.9,14.4,13.0,10.0,9.0,6.4,5.4,6.8,8.0,9.4,11.2,13.0, ,14,1998,2011
"Mean number of days <= 2 Degrees C for years 1998 to 2011 ",0.3,0.5,2.7,8.2,11.2,18.0,19.6,14.7,9.3,5.7,3.3,0.5,94.0,13,1998,2011
"Mean number of days <= 0 Degrees C for years 1998 to 2011 ",0.2,0.0,0.5,3.9,7.0,13.3,13.3,9.8,4.5,2.1,1.3,0.1,56.0,13,1998,2011
"Mean daily ground minimum temperature Degrees C for years null to null ", , , , , , , , , , , , , ,, , 
"Lowest ground temperature Degrees C for years null to null ", , , , , , , , , , , , , ,, , 
"Date of Lowest ground temperature  for years null to null ", , , , , , , , , , , , , ,N/A, , 
"Mean number of days ground min. temp. <= -1 Degrees C for years null to null ", , , , , , , , , , , , , ,, , 
